City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
218,Boa Vista,BR,2022-09-20 21:31:48,2.8197,-60.6733,80.58,65,75,6.91
219,San Nicolas,PH,2022-09-20 21:31:48,18.1725,120.5953,75.11,94,20,2.3
220,Sarangani,PH,2022-09-20 21:31:49,5.4033,125.4636,83.23,70,100,2.64
221,Talnakh,RU,2022-09-20 21:31:49,69.4865,88.3972,29.21,72,100,9.8
222,Jijiga,ET,2022-09-20 21:31:49,9.35,42.8,66.72,68,44,5.39
223,Ancud,CL,2022-09-20 21:31:50,-41.8697,-73.8203,47.23,80,36,4.83
224,Sangar,RU,2022-09-20 21:31:50,63.9242,127.4739,25.99,75,9,5.88
225,Tabuk,PH,2022-09-20 21:31:50,17.4189,121.4443,70.86,92,91,2.06
226,Shakiso,ET,2022-09-20 21:31:51,5.75,38.9167,62.06,78,99,1.52
227,Luwingu,ZM,2022-09-20 21:31:51,-10.2621,29.9271,68.38,27,71,3.44
228,Ponta Do Sol,PT,2022-09-20 21:31:51,32.6667,-17.1,74.03,91,44,3.67
229,Port Hawkesbury,CA,2022-09-20 21:32:52,45.6169,-61.3485,56.79,85,75,11.99
230,Emba,KZ,2022-09-20 21:32:52,48.8264,58.1442,63.73,15,0,7.54
231,Narsaq,GL,2022-09-20 21:32:53,60.9167,-46.05,44.82,81,11,1.54
232,Kahului,US,2022-09-20 21:32:53,20.8947,-156.47,87.82,65,40,25.32
233,Port Lincoln,AU,2022-09-20 21:32:53,-34.7333,135.8667,55.98,81,59,17.81
234,Nuuk,GL,2022-09-20 21:32:54,64.1835,-51.7216,39.81,93,75,6.91
235,Pasni,PK,2022-09-20 21:32:54,25.2631,63.471,79.11,80,42,6.44
236,Pahrump,US,2022-09-20 21:32:54,36.2083,-115.9839,88.52,16,0,14.0
237,Krasnoselkup,RU,2022-09-20 21:32:55,65.7,82.4667,36.03,68,100,20.36
238,Palana,RU,2022-09-20 21:32:55,59.1167,159.9667,45.61,86,99,44.9
239,Laguna,US,2022-09-20 21:32:20,38.421,-121.4238,78.08,57,0,1.99
240,Lasa,IT,2022-09-20 21:32:55,46.6166,10.7002,56.28,91,17,5.68
241,Matagami,CA,2022-09-20 21:32:56,49.7502,-77.6328,60.91,67,0,10.36
242,Uzhur,RU,2022-09-20 21:32:56,55.3036,89.8339,40.1,91,94,1.9
243,Sept-Iles,CA,2022-09-20 21:32:57,50.2001,-66.3821,55.92,67,75,10.36
244,Bathsheba,BB,2022-09-20 21:32:57,13.2167,-59.5167,84.81,79,20,13.8
245,Jever,DE,2022-09-20 21:32:57,53.5833,7.9,54.01,100,2,1.43
246,Diffa,NE,2022-09-20 21:32:58,13.3154,12.6113,85.96,55,92,8.23
247,Pilar,BR,2022-09-20 21:32:58,-9.5972,-35.9567,73.33,89,1,4.52
248,Teya,RU,2022-09-20 21:32:59,60.3778,92.6267,28.74,92,51,3.36
249,Faranah,GN,2022-09-20 21:32:59,10.0404,-10.7434,71.38,97,100,2.62
250,Vrangel,RU,2022-09-20 21:31:40,42.7297,133.0839,49.62,53,0,4.52
251,Linfen,CN,2022-09-20 21:32:59,36.0889,111.5189,59.61,78,1,3.18
252,Muniz Freire,BR,2022-09-20 21:33:00,-20.4642,-41.4131,70.88,69,79,4.81
253,Antibes,FR,2022-09-20 21:33:00,43.5624,7.1278,70.68,68,40,8.05
254,Khandyga,RU,2022-09-20 21:33:00,62.6667,135.6,27.54,64,2,4.61
255,Khirkiya,IN,2022-09-20 21:33:01,22.1674,76.8605,72.73,94,96,5.28
256,Saint-Louis,SN,2022-09-20 21:33:01,16.3333,-15.0,91.04,47,94,12.53
257,Valdivia,CL,2022-09-20 21:31:21,-39.8142,-73.2459,50.09,89,70,3.49
258,Dalvik,IS,2022-09-20 21:33:02,65.9702,-18.5286,53.53,83,100,6.91
259,Wajir,KE,2022-09-20 21:33:02,1.7471,40.0573,77.65,61,35,17.98
260,Puerto Narino,CO,2022-09-20 21:33:03,-3.7703,-70.3831,78.85,79,78,5.19
261,Tiksi,RU,2022-09-20 21:33:03,71.6872,128.8694,32.38,98,100,11.21
262,Ejura,GH,2022-09-20 21:33:03,7.3856,-1.3562,71.4,97,92,4.9
263,Olafsvik,IS,2022-09-20 21:33:04,64.8945,-23.7142,49.82,89,70,9.01
264,Pangoa,PE,2022-09-20 21:33:04,-12.1167,-73.0,76.3,81,82,3.11
265,Barrow,US,2022-09-20 21:33:05,71.2906,-156.7887,39.22,81,0,5.75
266,Dunedin,NZ,2022-09-20 21:30:40,-45.8742,170.5036,48.79,91,64,8.01
267,Grand Gaube,MU,2022-09-20 21:33:05,-20.0064,57.6608,71.38,74,8,10.0
268,Baykit,RU,2022-09-20 21:33:06,61.67,96.37,30.9,71,56,8.88
269,Lebanon,US,2022-09-20 21:30:04,36.2081,-86.2911,96.94,53,0,9.22
270,Savannah Bight,HN,2022-09-20 21:33:06,16.45,-85.85,83.75,73,70,9.22
271,Poronaysk,RU,2022-09-20 21:33:07,49.2167,143.1167,47.46,63,37,12.35
272,Ugoofaaru,MV,2022-09-20 21:33:07,5.6667,73.0,80.8,78,69,10.27
